repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
JinmiaoChenLab/SpatialGlue	https://github.com/JinmiaoChenLab/SpatialGlue	paper_analysis_code_candidate	S0114;S0378	10.1038/s41592-024-02316-4;10.1038/s41467-024-55204-y	Deciphering spatial domains from spatial multi-omics with SpatialGlue.; Cooperative integration of spatially resolved multi-omics data with COSMOS.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	SpatialGlue is a novel deep learning methods for spatial multi-omics data integration.	SpatialGlue/SpatialGlue_pyG.py | SpatialGlue/model.py | SpatialGlue/preprocess.py | SpatialGlue/utils.py
shangll123/SpatialPCA	https://github.com/shangll123/SpatialPCA	paper_analysis_code_candidate	S0449	10.1186/s13059-024-03361-0	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	Spatially aware dimension reduction for spatial transcriptomics.	R/SpatialPCA-package.R | R/SpatialPCA.R | R/SpatialPCA_EstimateLoading.R | R/SpatialPCA_SpatialPCs.R | R/SpatialPCA_buildKernel.R | R/SpatialPCA_highresolution.R | R/SpatialPCA_multiple_sample.R | R/SpatialPCA_utilties.R
wenwenmin/SpaBatch	https://github.com/wenwenmin/SpaBatch	analysis_or_method_code_candidate	S0349	10.1002/advs.202509090	SpaBatch: Deep Learning-Based Cross-Slice Integration and 3D Spatial Domain Identification in Spatial Transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	[Advanced Science 2025] SpaBatch: Deep learning-based cross-slice integration and 3D spatial domain identification in spatial transcriptomics	Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_12S.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_151507.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_151669.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_151673.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_MBA_MBP.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_MOB.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_MOE.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutoricals_BC_H.ipynb | Baselines/STitch3D/Tutorials_DLPFC/Run_DLPFC_151507.ipynb | Baselines/STitch3D/Tutorials_DLPFC/Run_DLPFC_151669.ipynb | Baselines/STitch3D/Tutorials_DLPFC/Run_DLPFC_151673.ipynb
MarioniLab/EmbryoTimecourse2018	https://github.com/MarioniLab/EmbryoTimecourse2018	paper_analysis_code_candidate	S0437	10.1101/gr.280532.125	Polyomino reconstructs spatial transcriptomic profiles with single-cell resolution via a region-allocation method.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Data and analysis scripts for our Embryo Timecourse paper.	analysis_scripts/atlas/7_define_clusters/cluster.Rmd | analysis_scripts/atlas/7_define_clusters/cluster_merging.ipynb | analysis_scripts/atlas/endoderm/umap.py | analysis_scripts/atlas/vis/umap/umap.Rmd | analysis_scripts/atlas/vis/umap/umap.py
TencentAILabHealthcare/spatialID	https://github.com/TencentAILabHealthcare/spatialID	analysis_or_method_code_candidate	S0040;S0083	10.1016/j.crmeth.2025.101205;10.1038/s41467-022-35288-0	stTransfer enables transfer of single-cell annotations to spatial transcriptomics with single-cell resolution.; Spatial-ID: a cell typing method for spatially resolved transcriptomics via transfer learning and spatial embedding.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		cell_type_annotation_for_hyp3d.py | cell_type_annotation_for_merfish.py | cell_type_annotation_for_nanostring.py | cell_type_annotation_for_slideseq.py
uhlerlab/STACI	https://github.com/uhlerlab/STACI	paper_analysis_code_candidate	S0371	10.1038/s41467-023-43220-3	SPACEL: deep learning-based characterization of spatial transcriptome architectures.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		.ipynb_checkpoints/plotEmbedding_Starmap-checkpoint.ipynb | .ipynb_checkpoints/plotEmbedding_data-checkpoint.ipynb | DEcluster_Starmap.ipynb | clusterComposition.ipynb | plotEmbedding_10xADFFPE.ipynb | plotEmbedding_10xADFFPE_extBatchCorrection.ipynb | plotEmbedding_Starmap.ipynb | plotEmbedding_Starmap_newdata.ipynb | plotEmbedding_Starmap_scrnaseq.ipynb | plotEmbedding_jointCNNgae_Starmap.ipynb | plotPlaqueDistr.ipynb | plotPlaqueDistr_newdata.ipynb | plotRegrsFromJoint_starmap_3Dseg.ipynb | segment3D_gpu.ipynb
JinmiaoChenLab/SEDR	https://github.com/JinmiaoChenLab/SEDR	paper_analysis_code_candidate	S0365;S0428;S0444;S0449	10.1016/j.xgen.2024.100565;10.1093/bioinformatics/btae663;10.1186/s12864-024-10469-x;10.1186/s13059-024-03361-0	Complete spatially resolved gene expression is not necessary for identifying spatial domains.; A signal-diffusion-based unsupervised contrastive representation learning for spatial transcriptomics analysis.; HyperGCN: an effective deep representation learning framework for the integrative analysis of spatial transcriptomics data.; Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		SEDR/clustering_func.py | docs/Tutorial1_Clustering.ipynb | docs/Tutorial4_Stereo-seq.ipynb
VingronLab/CAbiNet_paper	https://github.com/VingronLab/CAbiNet_paper	paper_analysis_code_candidate	S0434	10.1093/nar/gkae480	CAbiNet: joint clustering and visualization of cells and genes for single-cell transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery		Benchmarking/algorithms/Seurat.R | Benchmarking/algorithms/biclustlib/clustering_error.R | Benchmarking/cluster_submit_real.sh | Benchmarking/cluster_submit_sim.sh | Benchmarking/data_scalability/cluster_submit-16t.sh | Benchmarking/data_scalability/cluster_submit.sh | Benchmarking/robustness/cluster_submit.sh | Preprocessing/submit_to_cluster_preprocessing.sh | Preprocessing/submit_to_cluster_preprocessing_simdata.sh | Results/Fig2_SFig3-pbmc-data.ipynb | Results/Fig3_SFig4-5_brain_organoids.ipynb | Results/Fig4-DmelSpatial-data.ipynb | Results/Fig5_SFig6-7_benchmarking.ipynb | Results/SFig1_SFig2_tabula_muris.ipynb | Results/SupplFigures.ipynb | Results/Suppl_Figure_8.ipynb
zhanglabtools/STAligner	https://github.com/zhanglabtools/STAligner	method_tool_with_examples	S0449	10.1186/s13059-024-03361-0	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	STAligner: Integrating spatial transcriptomics data across different conditions, technologies, and developmental stages	STAligner/STALIGNER.py | STAligner/ST_utils.py | STAligner/__init__.py | STAligner/gat_conv.py | STAligner/mnn_utils.py | STAligner/train_STAligner.py | Tutorials/Tutorial_3D_alignment.ipynb
bwalker1/NeST	https://github.com/bwalker1/NeST	paper_analysis_code_candidate	S0370	10.1038/s41467-023-42343-x	NeST: nested hierarchical structure identification in spatial transcriptomic data.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation		nest/benchmarks/parameters_synthetic_segmentation.py | nest/cci/__init__.py | nest/cci/cci.py | nest/cci/cellchat.py | nest/cci/spatial.py | nest/hotspot/hotspots_3d.py | nest/plot/__init__.py | nest/plot/hotspots.py | nest/plot/pl3d.py | nest/plot/plot.py | nest/plot/tracksplot.py
BGI-Intestines/Germ-free-mice	https://github.com/BGI-Intestines/Germ-free-mice	paper_analysis_code_candidate	S0011	10.1002/imt2.272	Cross-tissue multi-omics analyses reveal the gut microbiota's absence impacts organ morphology, immune homeostasis, bile acid and lipid metabolism.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Germ-free mice multiple organizations project	Analysis/Jupyter/DEG.ipynb | Analysis/Jupyter/immune_regulation_factor_ploting.ipynb | Analysis/Jupyter/step3_Cell2location_cluster.ipynb | Analysis/script/AnnotClusterPlot.R | Analysis/script/Integrate_Plot.R | Analysis/script/Integrate_Plot2.R | Analysis/script/subClustering.R | Figure1/Figure1.ipynb | Figure2/Figure2.ipynb | Figure3/Figure3.ipynb | Figure4/Figure4.ipynb | Figure5/Figure5.ipynb | Figure6/step8_Figure6.ipynb
maiziezhoulab/BenchmarkST	https://github.com/maiziezhoulab/BenchmarkST	paper_analysis_code_candidate	S0449	10.1186/s13059-024-03361-0	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics	DeepST/Benchmark/run_DLPFC_bayesspace.R | SEDR/src/clustering_func.py | metrics/Layer-wise alignment accuracy.ipynb | metrics/Spot-to-spot alignment accuracy.ipynb | metrics/clustering_metrics_and_usage.py | run_STAligner/STAligner.ipynb | run_STalign/run_STalign.ipynb
JinmiaoChenLab/SpatialGlue_notebook	https://github.com/JinmiaoChenLab/SpatialGlue_notebook	paper_analysis_code_candidate	S0114	10.1038/s41592-024-02316-4	Deciphering spatial domains from spatial multi-omics with SpatialGlue.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		Benchmarking_Lymph_Node_Fig1hk_FigS8cehi.ipynb | Benchmarking_Mouse_Brain_Fig2bf_FigS13a_FigS14a.ipynb | Benchmarking_Mouse_Spleen_Fig3f_Fig25d.ipynb | Benchmarking_Mouse_Thymus_Fig3a_Fig17a_Fig18a_Fig19a.ipynb | Benchmarking_Simulation_Fig1bef_FigS1bd_FigS2ac_FigS3acfh.ipynb | Downstream_analysis/Spatial-epigenome-transriptome_downstream_analysis_archR_Fig2jkl_FigS13.R | Downstream_analysis/Spatial-epigenome-transriptome_downstream_analysis_signac_Fig2jkl_FigS13.R | baseline_methods/RNA&ADT/benchmarking_RNA_ADT_Seurat.R | baseline_methods/RNA&ADT/clustering_scMM.ipynb | baseline_methods/RNA&peak/benchmarking_RNA_ATAC_Seurat.R
vertesy/Seurat.multicore	https://github.com/vertesy/Seurat.multicore	paper_analysis_code_candidate	S0085	10.1038/s41467-023-42658-9	Dbh+ catecholaminergic cardiomyocytes contribute to the structure and function of the cardiac conduction system in murine heart.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery	Multicore and utility functions for Seurat 2 & 3, using doMC / foreach packages.	00.Load.Seurat3.Multicore.LOCAL.R | 00.Load.Seurat3.Multicore.WEB.R | Functions/Seurat.Functions.other.R | Functions/Seurat2.Multicore.Functions.R | Functions/Seurat3.Multicore.Generic.Functions.R | Functions/Seurat3.Multicore.Read.Write.R | Functions/deprecated/OLD.Seurat.Functions.R | Functions/deprecated/Seurat3.Functions copy.R | Functions/deprecated/Seurat3.plotting.Functions.R | Seurat.Multicore.Examples.R
JinmiaoChenLab/SpatialGlue_3M	https://github.com/JinmiaoChenLab/SpatialGlue_3M	method_tool_with_examples	S0114	10.1038/s41592-024-02316-4	Deciphering spatial domains from spatial multi-omics with SpatialGlue.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Extended version of SpatialGlue for integration of spatial triplet modality data.	SpatialGlue_3M/SpatialGlue_pyG.py | SpatialGlue_3M/main.py | SpatialGlue_3M/model.py | SpatialGlue_3M/preprocess.py | SpatialGlue_3M/utils.py
ZhihaoSi/SpaNCMG	https://github.com/ZhihaoSi/SpaNCMG	analysis_or_method_code_candidate	S0417	10.1093/bib/bbae259	SpaNCMG: improving spatial domains identification of spatial transcriptomics using neighborhood-complementary mixed-view graph convolutional network.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery		Tutorial/SpaNCMG _use_stereoMOB.py | Tutorial/SpaNCMG _use_stereoembryo.py
yuqiuzhou/Pianno	https://github.com/yuqiuzhou/Pianno	analysis_or_method_code_candidate	S0375	10.1038/s41467-024-47152-4	Pianno: a probabilistic framework automating semantic annotation for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		pianno/_annotation_improvement.py | pianno/_spatial_pattern_recognition.py
deepomicslab/STAGUE	https://github.com/deepomicslab/STAGUE	analysis_or_method_code_candidate	S0345;S0455	10.1002/advs.202403572;10.1186/s13059-025-03637-z	Spatially Informed Graph Structure Learning Extracts Insights from Spatial Transcriptomics.; spaMGCN: a graph convolutional network with autoencoder for spatial domain identification using multi-scale adaptation.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		Visualization.ipynb | benchmark_script/stereo-seq.sh
yiwen-yang/MCGAE	https://github.com/yiwen-yang/MCGAE	paper_analysis_code_candidate	S0419	10.1093/bib/bbae608	MCGAE: unraveling tumor invasion through integrated multimodal spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		Analysis/Colon1/Colorectal_Cancer1_Seurat.R | Analysis/DLPFC/Seurat.R | Analysis/HBC/HumanBreastCancer_Seurat.R | Analysis/Liver1/Liver1_Seurat.R | Analysis/Mouse_Olfactory/MouseOlfactory_Seurat.R | Analysis/Mouse_Olfactory/plot_for_R method_MO.py | Analysis/STARmap/STARmap_Seurat.R | Analysis/TImerecord/ForHBC_Timerecorder_Seurat.R
zenglab-pku/SPATCH	https://github.com/zenglab-pku/SPATCH	paper_analysis_code_candidate	S0098	10.1038/s41467-025-64292-3	Systematic benchmarking of high-throughput subcellular spatial transcriptomics platforms across human tumors.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery	SPAtial Transcriptomics resource for subCellular and High-throughput platforms	analysis/10_spatial_cluster.py | analysis/7_cluster.py | analysis/9_st_annotation.py | analysis/9_st_annotation_consistency.r
Zhaocy-Research/TransformerST	https://github.com/Zhaocy-Research/TransformerST	paper_analysis_code_candidate	S0412	10.1093/bib/bbae052	Innovative super-resolution in spatial transcriptomics: a transformer model exploiting histology images and spatial gene expression.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-spatial-domain-discovery;stereo-seq-cellbin-segmentation	A Transformer Model Exploiting Histology Images and Spatial Gene Expression	TransformerST analysis/DLPFC.ARI_boxplot.R | TransformerST analysis/DLPFC_BayesSpace.R | TransformerST analysis/Figure 2.ipynb | src/Utils/clustering_func.py
hanyuefuqu8/ST_Ol_rhizome	https://github.com/hanyuefuqu8/ST_Ol_rhizome	paper_analysis_code_candidate	S0146	10.1111/pbi.14294	Spatiotemporal transcriptomic atlas of rhizome formation in Oryza longistaminata.	stereo-seq-3d-reconstruction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		Seurat_SCTintegrate.R | Seurat_harmony.R | Seurat_merge.R | Seurat_reference.R | tiller_and_rhizome/Reversed_clusters/c4c5_gene_plot.sh | tiller_and_rhizome/Reversed_clusters/c4c5_marker.sh | tiller_and_rhizome/Reversed_clusters/diff_gene_plot.R | tiller_and_rhizome/Reversed_clusters/known_marker.R
Lei-group/Dbh_paper	https://github.com/Lei-group/Dbh_paper	analysis_or_method_code_candidate	S0085	10.1038/s41467-023-42658-9	Dbh+ catecholaminergic cardiomyocytes contribute to the structure and function of the cardiac conduction system in murine heart.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery	This includes code and data relevant to produce the figures shown in the Lei group paper 2023 NC.	Figures.R | MULTICORESEURAT.R
zhengli09/BASS-Analysis	https://github.com/zhengli09/BASS-Analysis ; https://github.com/zhengli09/BASS‐Analysis	paper_analysis_code_candidate	S0087;S0345;S0350;S0449	10.1038/s41467-023-44367-9;10.1002/advs.202403572;10.1002/imt2.70084;10.1186/s13059-024-03361-0	MENDER: fast and scalable tissue structure identification in spatial omics data.; Spatially Informed Graph Structure Learning Extracts Insights from Spatial Transcriptomics.; A comprehensive benchmarking for spatially resolved transcriptomics clustering methods across variable technologies, organs, and replicates.; Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Tutorial of BASS and results reproduction	code/add_simu/nTypes_nDomains/plot.R | code/add_simu/nTypes_nDomains/simu_C.R | code/add_simu/nTypes_nDomains/simu_R.R | code/add_simu/nTypes_nDomains/simu_R_spaGCN.R | code/add_simu/rand_exclusion_genes/plot.R | code/add_simu/rare_cell_type/plot.R
shendurelab/MMCA	https://github.com/shendurelab/MMCA	paper_analysis_code_candidate	S0385	10.1038/s41586-023-06548-w	Single-cell, whole-embryo phenotyping of mammalian developmental disorders.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	The scripts used for performing data analysis in the MMCA project	Section_3_step2_UMAP_WT.R | Section_3_step3_PCA_sub_trajectory.R | Section_3_step4_WT_sub_trajectory.R | Section_3_step5_plot_sub_trajectory.R | Section_7_gsea.R | Section_7_subcluster_LimbMes.R
tju-zl/MuCoST	https://github.com/tju-zl/MuCoST	paper_analysis_code_candidate	S0415	10.1093/bib/bbae255	A multi-view graph contrastive learning framework for deciphering spatially resolved transcriptomics data.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		MuCoST/config.py | Notebooks/MuCoST-stereo-seq.ipynb | Notebooks/plot-batches.ipynb | Notebooks/plot-seed.ipynb | Notebooks/plot-temp.ipynb
brocklab/pycashier	https://github.com/brocklab/pycashier	method_tool_with_examples	S0039	10.1016/j.crmeth.2024.100763	Analysis of synthetic cellular barcodes in the genome and transcriptome with BARtab and bartools.	stereo-seq-3d-reconstruction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cash in on DNA barcode tags	src/pycashier/config.py | tests/test_config.py
C0nc/River	https://github.com/C0nc/River	paper_analysis_code_candidate	S0381	10.1038/s41467-025-61476-9	Prioritizing perturbation-responsive gene patterns using interpretable deep learning.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	A Python package for identification Differential Spatial Expression Pattern (DESP) gene by interpretable deep learning from multi-slice spatial omics data.	figure3.ipynb | figure4.ipynb | figure5.ipynb | figure6.ipynb | figure7.ipynb
feiyoung/DR-SC.Analysis	https://github.com/feiyoung/DR-SC.Analysis	paper_analysis_code_candidate	S0449	10.1186/s13059-024-03361-0	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	 Codes for analysis of DR-SC	codes/Benchmark16__trajectory_inference.R | codes/SeqFISH_Mouse_embryo_plot.R | codes/SlideseqV2_mouse_E15_neocortex_plot.R | codes/SlideseqV2_mouse_olfactory_bulb_plot.R | codes/Visium_Human_dorsolateral_prefrontal_cortex_plot.R
rwang-z/STModule	https://github.com/rwang-z/STModule	paper_analysis_code_candidate	S0457	10.1186/s13073-025-01441-9	STModule: identifying tissue modules to uncover spatial components and characteristics of transcriptomic landscapes.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		R/spatial_factorization.r | R/spatial_factorization_gpu.r | R/spatial_map_estimation.r | R/spatial_map_estimation_gpu.r
VingronLab/CAbiNet	https://github.com/VingronLab/CAbiNet	paper_analysis_code_candidate	S0434	10.1093/nar/gkae480	CAbiNet: joint clustering and visualization of cells and genes for single-cell transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery		R/clustering.R | R/plot.R | inst/python/umap.py
